"Location_code","HFA","N_years","N_varieties"
"AZBO",693.258936526139,11,9
"COFC",485.640894659813,28,10
"COFR",956.047621235561,18,9
"IDKI",718.920087012468,27,12
"IDPA",722.731871807435,23,8
"MISA",792.144542647896,33,22
"MOCO",521.8710803187,9,8
"MTSI",551.805744779548,33,11
"NEMI",783.769544695153,8,9
"NESB",669.955222449736,27,16
"NMFA",549.960016986903,18,11
"NYFR",700.110577757561,25,17
"ONEX",483.130122732376,7,5
"SKOU",740.236415364909,10,5
"TXLU",519.721977538388,6,2
"WAOT",780.181282512713,27,9
"WARO",810.787261684369,14,6
"ABBR",840.097033995418,9,2
"ABLE",677.299898543607,7,5
"AZSA",601.382706346482,3,12
"MBMO",752.483807039844,4,3
"NDER",667.747464787289,7,6
"ONEL",539.141457969113,9,8
"SKSA",515.749600556269,7,8
"WYPO",655.396291387988,32,12
"WYTO",618.423544016163,12,6
"ABBI",168.309651659391,15,8
"CACH",682.509870045708,7,6
"MTHU",643.6827634746,5,2
"NDHA",508.146261186492,10,5
"IDTF",978.72378927567,6,1
"ONGU",607.105615599146,11,12
"MIEN",863.091020960618,21,12
"CADV",528.167656771881,17,15
"NDFA",557.001282479379,12,7
"ABVA",NA,3,NA
"CAIR",642.849203538943,4,2
"CAOR",656.954526205297,3,5
"CARI",742.371062786814,3,1
"KSTR",612.323548028443,5,2
"ONHA",507.544762734995,3,4
"MNBE",403.072628221043,3,1
"MNCR",377.57380994195,4,2
"MNLA",NA,4,NA
"MNMO",781.542610439316,4,1
"MNPR",1014.14911414239,5,5
"KSMA",24.5281466767559,10,2
