"site","site_year","sd_H","mean_H"
"ABBI",15,0.316261365935444,0.261272679058943
"ABLE",7,0.310067994038489,0.365447451086957
"AZBO",11,0.237426052789362,0.285553266666667
"CACH",7,0.202525193840563,0.3530014
"COFC",28,0.243200238703388,0.310392102365591
"COFR",18,0.224887791567631,0.411740686586207
"IDKI",27,0.299831178860434,0.406811273265625
"IDPA",23,0.304526580808244,0.337524432519757
"MISA",33,0.251953643453497,0.349934280718562
"MOCO",9,0.179658685929815,0.268602735280403
"MTHU",5,0.158750815305397,0.158783466698533
"MTSI",33,0.340355486827379,0.335354397520355
"NDHA",10,0.308530307466518,0.289770478519615
"NEMI",8,0.193078787630747,0.17217544555755
"NESB",27,0.291878200746091,0.291067725847264
"NMFA",18,0.19885125982206,0.304124195322034
"NYFR",25,0.247180898173998,0.382293411366714
"ONEX",7,0.27303158271882,0.395983711111111
"SKOU",10,0.155517424256111,0.126760137428571
"TXLU",6,0.217210917156797,0.173087216002856
"WAOT",27,0.27989589839426,0.390885728351648
"WARO",14,0.218953596365719,0.455628453851744
"WYPO",32,0.334804370469113,0.341747230856946
"IDTF",6,0.279039447101549,0.565457914285714
"ONGU",11,0.24371744154378,0.265238199423077
"WYTO",12,0.303791049992697,0.341197762004762
"ABBR",9,0.273908967981496,0.332721359058824
"MBMO",4,0.174484562365668,0.408550788235294
"NDER",7,0.229940439311916,0.507317463076923
"SKSA",7,0.117021931332292,0.17106693742113
"CADV",17,NA,NA
"ABVA",3,0.332886376707249,0.294685434154
"AZSA",3,0.276960726430909,0.665939533333333
"ONEL",9,0.280198312217108,0.3966365734375
"CAIR",4,0.253592396383165,0.398321911111111
"CAOR",3,0.121939030703084,0.184839781818182
"CARI",3,0.163428100840579,0.271810202666667
"KSTR",5,0.164242912150899,0.411630838
"NDFA",12,0.314773321733813,0.293752434223429
"ONHA",3,0.0479834,0.578242
"KSMA",10,0.285397358722377,0.257404276363636
"MNCR",4,0.132719044358388,0.068506151311125
"MNLA",4,0.381502968419708,0.2236379
"MNMO",4,0.366543550717419,0.416724355555556
"MNBE",3,0.304892630049248,0.192176497142857
"MIEN",21,0.367497310844514,0.308416896904167
"MNPR",5,0.160085341711863,0.4556279
