"PC","Race","pVar"
1,"Durango",0.169324418504519
2,"Durango",0.146167314472105
3,"Durango",0.121395408089749
4,"Durango",0.103029834222818
5,"Durango",0.0942023484519405
6,"Durango",0.0867243308448482
7,"Durango",0.0755230346415469
8,"Durango",0.0722929709485556
9,"Durango",0.066685360717351
10,"Durango",0.064654979106567
1,"Mesoamerican",0.182367771851313
2,"Mesoamerican",0.122703201836621
3,"Mesoamerican",0.112632380770718
4,"Mesoamerican",0.0982580836197626
5,"Mesoamerican",0.0938618717929082
6,"Mesoamerican",0.0837346091266333
7,"Mesoamerican",0.0811781268261645
8,"Mesoamerican",0.0767000877747487
9,"Mesoamerican",0.0744993448763218
10,"Mesoamerican",0.0740645215248091
1,"Nueva Granada",0.143785350099017
2,"Nueva Granada",0.127889652488926
3,"Nueva Granada",0.112836213773301
4,"Nueva Granada",0.107507403358233
5,"Nueva Granada",0.0990525623924177
6,"Nueva Granada",0.0930642956884908
7,"Nueva Granada",0.0861549848902378
8,"Nueva Granada",0.0817521309490864
9,"Nueva Granada",0.0760531561540025
10,"Nueva Granada",0.0719042502062884
