Longitude,Latitude,Heritability
-111.377099,49.869621,0.908
-111.852109,50.549506,0.917
-112.763594,49.69886,0.709
-112.126564,50.052864,0.584
-109.958609,32.451195,0.76
-110.108139,31.43833,NA
-109.752162,32.12751,0.69
-109.680619,32.81499,0.06
-121.823782,39.6903,0.11
-122.02,39.2,NA
-121.783175,38.53505,NA
-121.756973,38.53782,0.82
-117.722118,33.6884,0.415
-122.005533,39.62961,0.428
-117.339196,33.96833,0.26
-104.999168,40.65167,0.856
-108.700073,39.17892,0.893
-114.340004,42.55103,0.968
-116.520451,43.664948,0.522
-116.944202,43.80256,0.435
-116.520451,43.66495,0.929
-114.504587,42.6065,0.867
-101.068435,39.387209,0.103
-96.589243,39.21192,0.163
-101.77941,38.47032,0.707
-99.973147,49.86689,NA
-98.078299,49.18491,0.779
-85.1791,43.3541,0.742
-83.68696,43.39521,NA
-83.686963,43.39521,0.757
-93.885754,45.38951,0.203
-96.60909,47.80604,0.411
-95.308206,44.23915,0.418
-95.901515,45.60179,0.578
-95.075698,46.89022,0.401
-95.533428,46.66384,0.639
-89.96273,36.487915,NA
-92.319914,38.943,0.352
-89.609206,36.395653,NA
-108.241794,45.92061,0.045
-104.150097,47.72635,0.904
-97.218143,47.10414,0.796
-99.120669,47.50822,0.1
-97.387892,47.11533,0.77
-96.811921,46.8994,0.408
-97.460334,47.6331,0.634
-97.113918,46.99889,NA
-103.821274,41.94062,0.611
-100.778668,41.08757,0.273
-103.678862,41.89178,NA
-103.814399,41.94255,0.849
-108.307665,36.68915,0.77
-76.330525,42.52198,0.757
-80.401772,43.6419,0.466
-81.506848,43.31734,0.611
-80.213818,43.54903,0.625
-82.900968,42.02955,0.502
-67.052045,18.46457,0.768
-107.050903,51.47894,NA
-106.609455,52.13359,0.6
-96.427962,30.540641,NA
-101.826086,33.6915,0.068
-99.614823,33.45195,NA
-99.368349,34.080061,NA
-119.033087,46.79111,0.928
-119.734117,46.29334,0.907
-122.649114,45.67664,NA
-104.394135,42.13224,NA
-108.758948,44.77592,0.876
-108.426538,43.0281,NA
-104.219912,42.0815,0.75
